id,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6
cu2xz,3,8,52,3,8,11
uv203,11,1,6,11,1,45
rwa6i,3,31,24,5,19,69
lzxxq,11,1,88,12,1,98
lqeic,3,21,58,12,15,94
w67d4,3,1,38,12,1,21
cylfx,11,1,86,12,1,6
safde,11,8,15,3,20,39
fam2k,11,1,21,11,1,91
ci9ra,12,5,51,3,17,94
nvtp4,12,15,83,3,1,18
zyant,11,1,82,12,16,98
txnqh,12,11,71,3,12,19
tvir3,12,1,70,3,1,93
s6qhb,5,14,25,3,6,4
u4og3,12,14,73,12,25,27
nryc8,11,3,67,11,27,4
dl1kg,11,29,16,12,3,6
vocsq,3,1,25,3,1,8
lcqut,3,6,81,5,27,64
ncylj,5,8,79,12,10,2
j49er,12,20,3,3,1,58
ejzvo,12,1,81,11,1,3
y0y79,3,23,15,5,9,48
uof7p,11,9,18,12,6,92
q5zs4,11,17,47,5,18,80
k1wsi,11,1,71,11,1,74
vhxnw,11,26,41,11,28,6
ozbdv,11,3,37,11,1,46
l9tyk,12,29,97,11,6,24
lhi71,12,7,55,12,11,81
fmc4k,12,8,91,11,27,37
cizeh,3,20,76,11,22,10
ose69,11,9,69,3,27,28
x3utj,11,7,83,12,8,92
bfffa,5,8,91,12,26,14
w000m,3,16,22,11,24,2
vdh36,12,1,59,3,1,3
hcz63,12,25,41,5,26,16
qix37,11,1,69,3,1,6
eymyf,5,4,47,3,18,11
tdatb,12,1,77,11,1,85
se4ow,3,18,83,11,7,28
jpbvd,5,8,24,12,30,94
byzzn,12,1,29,3,1,57
zr1p7,11,14,47,12,18,1
lx1xg,11,17,90,12,14,79
xqxsv,3,8,16,5,13,39
r64hh,11,1,9,3,1,13
ufzrv,3,8,84,11,27,47
t5rwk,3,15,66,12,2,67
f3au3,11,20,72,3,27,43
jzd4n,3,31,38,5,25,48
msrml,5,1,41,5,1,60
m6x9l,5,26,14,5,21,65
bksvd,3,1,85,5,1,32
onpdu,5,18,48,5,9,81
ee5sg,3,1,50,3,1,84
tsmpj,12,20,42,11,20,40
rpfkn,3,1,40,11,1,66
x265n,3,13,40,3,16,16
tnjs8,11,25,32,3,24,96
jizjn,5,1,89,12,1,59
zs04w,11,1,62,11,1,48
kv4wd,11,17,61,11,14,88
ibtaz,11,22,1,11,19,35
x29av,12,1,3,3,1,94
j7f18,5,13,78,3,26,70
bcqcr,12,31,20,12,5,88
m4j23,3,2,94,11,18,95
uatj9,12,30,78,5,12,75
ezsxg,5,6,19,12,12,90
ms18f,11,18,62,3,19,16
d6k57,11,27,16,12,30,4
r29t1,11,8,48,11,20,46
m6hz0,3,18,39,11,24,73
irvxq,11,19,21,11,26,97
fvqqq,12,15,82,12,12,41
oqldt,12,25,6,12,27,94
rpbt4,11,30,12,3,28,31
yj6to,11,2,14,3,9,65
l5871,5,20,83,5,10,68
ew446,12,1,17,11,1,6
v3m83,12,1,47,3,1,5
q5fa9,3,1,36,11,1,17
swvzy,12,1,47,12,1,49
cbltb,3,1,58,12,17,27
i5fpf,5,1,55,11,1,4
tcp1k,12,1,2,12,1,87
vq7n4,11,1,29,11,1,2
l9tw4,11,1,38,5,1,25
uyv57,3,19,7,12,31,38
vk0j0,12,8,72,11,9,82
kdj22,3,5,98,12,25,70
xq1rc,3,26,30,5,14,69
h3c25,12,1,89,12,1,28
ga9wv,11,30,68,11,6,98
rlgap,5,17,10,12,10,90
q2ai3,3,13,87,5,16,55
dpd9m,11,23,2,11,21,12
vgudz,12,12,33,3,7,87
fx6kp,11,1,69,3,1,90
uygnd,12,1,38,12,1,83
azxde,11,25,15,11,4,54
uox2q,3,1,57,5,1,18
u2ovj,11,1,60,11,25,51
ux6kz,5,24,89,5,4,10
rqsup,11,8,90,12,13,77
mxmfo,12,20,20,3,4,24
sp4xp,5,20,46,12,20,93
h4ay7,3,21,31,5,13,43
uzvtf,11,25,60,12,8,19
ofe7n,3,16,26,12,8,38
l8w17,5,25,53,3,27,58
nsb3m,5,6,2,12,19,57
ofj9p,11,30,11,12,18,29
au2uf,3,1,77,5,28,71
dd7hj,11,17,91,3,4,82
gb1sx,12,27,80,5,24,83
cgtt4,5,2,81,11,2,95
lzvy2,11,3,86,3,18,63
riv7z,3,1,84,11,1,54
r4b4x,12,1,77,12,1,3
mg65x,11,1,36,3,1,78
w83p9,3,17,98,3,18,64
orfey,12,9,68,12,30,26
cf67b,3,9,70,11,22,91
tggzi,12,1,30,11,1,74
oy5x9,12,1,55,12,1,78
qr61r,11,1,81,3,1,95
oky1d,5,19,20,11,1,62
ol9e7,12,1,98,12,1,63
cevlf,3,22,22,12,13,94
oi8j6,12,22,69,5,16,2
uw9qs,11,17,56,11,5,26
hcmvn,5,27,69,12,17,3
pgr96,11,1,24,5,1,45
aneax,5,1,9,11,1,40
jy6uj,5,11,69,5,5,8
lask2,3,28,64,5,13,83
zxs0s,12,14,37,11,7,8
fx1cf,3,5,85,3,12,59
hrzp6,12,1,99,3,1,57
k9dxc,11,23,31,5,10,66
z2dd0,3,7,70,3,30,97
woopq,11,28,74,11,6,8
ay08s,11,5,10,11,17,90
g4vc4,3,31,69,11,3,29
vpq45,5,14,68,3,16,44
b9spo,5,1,81,12,1,48
wmjl0,12,21,75,3,5,50
hkwi3,3,27,52,11,7,35
xpt85,5,18,18,11,10,70
hlkt0,5,1,57,3,1,42
l8oue,11,15,2,5,2,10
r0txi,5,21,59,11,30,83
dpcmn,12,25,97,11,1,87
oq9w6,12,9,96,11,11,95
nh9vb,12,12,24,11,22,84
u5f2i,11,24,50,3,22,37
